,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
intellectual,4.946858158874035e-05,1.237952113309587e-05,6.705660821596929e-06,5.181130431183802e-06,3.522794553669293e-05,1.1167308895308791e-05,3.616420589745721e-05,2.9823933862886217e-05,4.645998408146648e-06,2.536583040266852e-06,0.0,4.291223246766724e-06,0.0,4.441713397175887e-06,7.588637061499348e-06,5.338050037132578e-06,1.0024074290706608e-05,9.641251417175683e-06,8.620732832572353e-06,1.2938349319016647e-05
use,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
childs,1.3382275264811262e-05,4.39152732121746e-06,1.9026246775731696e-05,0.0,8.335850617311111e-06,2.5350506232861704e-05,0.0,1.539477799495617e-05,2.929453288517436e-06,0.0,0.0,0.0,0.0,0.0,3.915176863590445e-06,7.573058282100956e-06,2.844613359270348e-06,0.0,8.154105745247228e-06,0.0
past,1.8190054949475106e-06,4.77497798131706e-06,0.0,0.0,4.531949162065531e-06,3.4458963657344857e-06,5.582910695531082e-06,4.184991622187844e-06,3.1853034179382294e-06,3.912687383053426e-06,8.18394640800174e-06,2.6478617119263472e-06,7.4319241700212675e-06,6.851356999706648e-06,5.3212344702803805e-06,4.117256028898543e-06,7.732058130261306e-06,0.0,1.1081656998281255e-05,6.6539254809695665e-06
territory,1.0255653796140615e-05,6.73079079768862e-06,0.0,0.0,0.0,3.885412558963432e-05,0.0,0.0,4.4899042620883764e-06,5.515251070181008e-06,1.5381883317052502e-05,7.464556739960373e-06,0.0,0.0,0.0,0.0,8.719634204410058e-06,0.0,0.0,0.0
pressured,1.5516205209352886e-05,1.0183293363262897e-05,0.0,6.81713814338497e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.596231840014161e-06,4.2292168633817774e-05,0.0,0.0
principle,1.0255653796140615e-05,6.73079079768862e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.103032613949813e-05,1.5381883317052502e-05,7.464556739960373e-06,0.0,0.0,0.0,0.0,8.719634204410058e-06,0.0,1.2497606390451562e-05,9.379563644779963e-06
reject,1.1750214077103611e-05,7.711671469526653e-06,0.0,0.0,7.319153990584234e-06,0.0,0.0,0.0,5.144219697148111e-06,6.3189906808271015e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4318887265329305e-05,1.0746450978820823e-05
oppression,1.5515744856134714e-05,5.0916466816314486e-06,0.0,0.0,0.0,0.0,1.1906166940899615e-05,0.0,6.792874676991542e-06,4.1721263747336775e-06,0.0,1.1293194496211015e-05,3.169733704562755e-05,1.4611418400713752e-05,0.0,0.0,1.3191964492834765e-05,0.0,9.454074271351686e-06,0.0
favourable,1.5516205209352886e-05,0.0,0.0,0.0,9.664972444889495e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9222836801427503e-05,0.0,0.0,6.596231840014161e-06,0.0,0.0,1.4190731978624252e-05
sustain,6.691336158919883e-06,4.39152732121746e-06,0.0,0.0,1.2503544848114917e-05,0.0,2.0537118943725708e-05,0.0,8.788131555967383e-06,7.196773760993973e-06,0.0,0.0,2.733884150836441e-05,0.0,7.83021779064483e-06,0.0,5.689154958261195e-06,1.8238423209820677e-05,0.0,6.1197281634862645e-06
dumbing,1.8013756400817058e-05,0.0,0.0,0.0,1.122068552805056e-05,0.0,0.0,0.0,0.0,9.687377444914686e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.647492963409209e-05
word,6.691336158919883e-06,0.0,0.0,0.0,4.1680023383855825e-06,0.0,0.0,1.539477799495617e-05,2.929453288517436e-06,0.0,2.0071030891174514e-05,0.0,5.4671056221945304e-05,1.260229688363097e-05,3.915176863590445e-06,0.0,5.689154958261195e-06,0.0,1.6307621873653746e-05,6.1197281634862645e-06
leisure,1.8013756400817058e-05,1.182243747932007e-05,5.122058831000145e-05,7.914452290926916e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
antiquated,4.821570594411374e-06,3.1643992311326623e-06,0.0,0.0,6.00655702557334e-06,9.133910059405209e-06,1.4798414911646088e-05,1.1093002522227744e-05,2.110873747508354e-06,5.185773351766732e-06,0.0,3.509370342752032e-06,0.0,9.080826703820173e-06,0.0,0.0,4.099429710646866e-06,0.0,1.7625517299930893e-05,1.3228344562544403e-05
watch,2.0510699038428554e-05,1.3461319467413095e-05,2.916108163415575e-05,4.505883219234431e-05,6.388199305605811e-06,0.0,0.0,0.0,4.4899042620883764e-06,5.515251070181008e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.3598720948526405e-06,0.0,0.0,0.0
breaks,6.691336158919883e-06,4.39152732121746e-06,0.0,2.9398788133897228e-05,0.0,1.2675965529502225e-05,0.0,0.0,2.929453288517436e-06,7.196773760993973e-06,0.0,9.740340458588628e-06,0.0,1.260229688363097e-05,3.915176863590445e-06,0.0,5.689154958261195e-06,0.0,0.0,6.1197281634862645e-06
worlds,3.9921114724271684e-06,0.0,2.2700545671044048e-05,1.7539582020301853e-05,4.9732436230163135e-06,7.562595304221818e-06,0.0,9.18466333023902e-06,3.4954310751744564e-06,2.146864306093425e-06,0.0,2.9056502091942082e-06,0.0,7.518643925998386e-06,2.335829810744975e-06,4.5181548395283355e-06,1.6971219733183804e-06,0.0,0.0,3.651084989508697e-06
yes,5.717454695657766e-06,3.7523684220129125e-06,0.0,0.0,3.5613760802239982e-06,0.0,0.0,0.0,2.5030899752087377e-06,3.074713592692104e-06,0.0,2.0805391640904536e-05,2.3359846829317408e-05,1.0768112643293047e-05,3.345347746910866e-06,6.470847765997953e-06,4.861134601207322e-06,0.0,0.0,5.2290406121401016e-06
burners,2.1233659905010653e-05,1.3935661785275808e-05,0.0,0.0,0.0,4.0224722630664535e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truth,2.681048367746033e-05,0.0,0.0,0.0,5.567039077286933e-06,0.0,0.0,0.0,0.0,1.4418447348203951e-05,0.0,1.9514271087025498e-05,0.0,3.3662917364196404e-05,2.614493395340975e-05,2.0229401193659222e-05,7.598783637354771e-06,0.0,0.0,1.6347323543726995e-05
demise,6.691336158919883e-06,0.0,0.0,0.0,4.1680023383855825e-06,0.0,1.0269027032170935e-05,0.0,5.858830472513503e-06,7.196773760993973e-06,0.0,4.870275402939424e-06,0.0,0.0,7.83021779064483e-06,7.573058282100956e-06,2.844613359270348e-06,1.8238423209820677e-05,0.0,1.8358188179719206e-05
fast,5.741041036465359e-07,7.532909591633318e-06,6.5280132704614e-06,2.0160497631157523e-05,1.0727807177737137e-06,2.175025930867636e-06,4.4045142120909055e-06,2.6415059003007397e-06,1.5319900746446154e-05,1.234899998453175e-06,8.610667354484237e-07,4.595473185718194e-06,0.0,2.1623860840467153e-06,6.044683295521781e-06,7.144897320101882e-06,1.4642826272465682e-06,4.693708493337713e-06,3.4975291584263215e-06,5.774106587248698e-06
viewpoints,1.7874186071371312e-05,5.865592727968652e-06,0.0,0.0,5.567039077286933e-06,1.693079555046853e-05,0.0,0.0,1.1737966492446552e-05,9.612451602741953e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.598783637354771e-06,0.0,2.1781458084165554e-05,1.6347323543726995e-05
mentally,8.937358199851363e-06,5.865592727968652e-06,0.0,0.0,1.1133872383327905e-05,0.0,0.0,0.0,1.1737966492446552e-05,0.0,0.0,1.3009794994511703e-05,3.6515430330533325e-05,0.0,5.2293498958400435e-06,1.0115040244280999e-05,3.799439742388524e-06,0.0,0.0,0.0
enrich,1.1750214077103611e-05,7.711671469526653e-06,3.341073701709484e-05,0.0,0.0,0.0,0.0,0.0,1.0288305752165997e-05,0.0,0.0,8.552369398256004e-06,0.0,0.0,0.0,0.0,4.995237893325461e-06,0.0,1.4318887265329305e-05,0.0
experts,2.1233659905010653e-05,0.0,0.0,0.0,1.3226348525113494e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9419772590764352e-05
unhappy,2.1233659905010653e-05,1.3935661785275808e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5875476005381506e-05,0.0
motivation,1.3475557300334211e-05,0.0,0.0,0.0,1.678741434785942e-05,5.1052912485650785e-05,4.135932144748619e-05,0.0,0.0,7.246839967425782e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.145728324055751e-05,0.0,0.0,0.0
continue,2.870179894595298e-06,4.897058369789966e-06,3.2645572436478994e-06,2.522360931965183e-06,6.077518448882747e-06,3.262355552665165e-06,5.285176476569531e-06,3.961988438317021e-06,5.779205467467225e-06,2.7783033646420222e-06,4.304567501383618e-06,2.924644581806224e-06,2.3456213715958044e-06,4.324288953324172e-06,4.030208473094085e-06,6.49754209570358e-07,4.148225300853907e-06,0.0,7.692895789545905e-06,7.348265012375475e-06
symptom,1.8013756400817058e-05,1.182243747932007e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.886385719327508e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1951680661803248e-05,0.0
properly,5.895578307769668e-06,3.869428844953787e-06,3.3531132546002784e-06,1.036091037873071e-05,3.672492785716823e-06,0.0,3.619383610084646e-06,2.7131170301206743e-06,3.613648182911137e-06,2.536583040266852e-06,0.0,2.5748451444541737e-06,4.818093284905772e-06,2.220980796528416e-06,4.139615816707697e-06,4.003671949925809e-06,3.0077532456745503e-06,3.214270230420009e-06,1.4370485349047136e-06,6.470227642217962e-06
years,3.63790305306096e-06,5.96860626320396e-06,0.0,0.0,1.0195943540433647e-05,3.4458963657344857e-06,1.6745682519221803e-05,4.184991622187844e-06,7.962638004324331e-06,7.824875396292188e-06,1.6365708391472533e-05,1.3239594468804188e-06,7.4319241700212675e-06,1.0276461320729785e-05,1.0641545355650962e-05,4.117256028898543e-06,1.0824335360603305e-05,0.0,8.865646074552321e-06,3.3271432887426126e-06
embrace,1.0255653796140615e-05,1.3461319467413095e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.3469362861525777e-05,5.515251070181008e-06,0.0,0.0,0.0,1.931524449005768e-05,6.000699637563077e-06,0.0,0.0,0.0,3.749010822645561e-05,9.379563644779963e-06
attention,6.691336158919883e-06,4.39152732121746e-06,0.0,0.0,8.335850617311111e-06,2.5350506232861704e-05,1.0269027032170935e-05,0.0,5.858830472513503e-06,0.0,0.0,0.0,0.0,0.0,1.1745122790552303e-05,7.573058282100956e-06,2.844613359270348e-06,0.0,8.154105745247228e-06,1.2239124211394141e-05
tension,3.9921114724271684e-06,2.6200247878952043e-06,1.1351230341249152e-05,1.7539582020301853e-05,0.0,7.562595304221818e-06,0.0,9.18466333023902e-06,3.4954310751744564e-06,6.4403873925864765e-06,0.0,2.9056502091942082e-06,1.6310599293822804e-05,7.518643925998386e-06,2.335829810744975e-06,0.0,1.6971219733183804e-06,0.0,4.864812993977621e-06,0.0
